"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",7948,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",14308,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",55827,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",12992,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",3240,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",68758,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",43266,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",6063,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",21328,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",55493,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",15035,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",5919,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",5722,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",47442,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",10761,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",41887,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",33652,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",8168,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",14600,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",56857,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",13374,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",3317,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",69828,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",44292,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",6165,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",22144,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",57091,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",15499,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",40479,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",1136,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",13579,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",98414,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",41959,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",1233,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",14327,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",102237,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",6097,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",5983,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",49338,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",11415,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",44397,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",35574,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",8604,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",15201,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",59566,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",13928,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",3427,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",72654,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",46038,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",6635,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",22754,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",59222,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",16153,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",42306,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",1196,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",14093,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",103414,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",6218,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",49235,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",13842,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",3396,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",71820,,
