Territorio;Età;Value;
Emilia-Romagna;41;58187;
Toscana;41;46678;
Umbria;41;11062;
Marche;41;19447;
Lazio;41;78468;
Abruzzo;41;16920;
Molise;41;3770;
Puglia;41;52406;
Basilicata;41;6740;
Calabria;41;24669;
Campania;41;75436;
Sicilia;41;62881;
Sardegna;41;21028;
Friuli-Venezia Giulia;42;15680;
Emilia-Romagna;42;61857;
Toscana;42;49524;
Piemonte;42;55157;
Valle d'Aosta / Vallée d'Aoste;42;1695;
Liguria;42;17701;
Lombardia;42;138065;
Provincia Autonoma Bolzano / Bozen;42;6795;
Provincia Autonoma Trento;42;7154;
Veneto;42;65550;
Umbria;42;11620;
Marche;42;20675;
Lazio;42;82572;
Abruzzo;42;17565;
Molise;42;3878;
Campania;42;77464;
Puglia;42;54164;
Basilicata;42;7168;
Calabria;42;24995;
Sicilia;42;64753;
Sardegna;42;23017;
Piemonte;43;58047;
Valle d'Aosta / Vallée d'Aoste;43;1653;
Liguria;43;18733;
Lombardia;43;143635;
Provincia Autonoma Bolzano / Bozen;43;6783;
Provincia Autonoma Trento;43;7253;
Veneto;43;67934;
Friuli-Venezia Giulia;43;15953;
Emilia-Romagna;43;64329;
Toscana;43;51338;
Marche;43;21271;
Umbria;43;12057;
Lazio;43;84068;
Abruzzo;43;17710;
Molise;43;3906;
Campania;43;79059;
Puglia;43;56413;
Basilicata;43;7306;
Calabria;43;25588;
Sicilia;43;65656;
Sardegna;43;23452;
Piemonte;44;60672;
Valle d'Aosta / Vallée d'Aoste;44;1766;
Liguria;44;19829;
Lombardia;44;148984;
Abruzzo;44;18438;
Molise;44;4039;
Campania;44;81947;
Puglia;44;58512;
Basilicata;44;7838;
Calabria;44;26765;
Sicilia;44;68822;
Sardegna;44;24382;
Provincia Autonoma Bolzano / Bozen;44;6983;
Provincia Autonoma Trento;44;7597;
Veneto;44;71016;
Friuli-Venezia Giulia;44;16875;
Emilia-Romagna;44;67478;
Toscana;44;53763;
Umbria;44;12459;
Marche;44;21848;
Lazio;44;87471;
Piemonte;45;64255;
Toscana;45;56558;
Valle d'Aosta / Vallée d'Aoste;45;1834;
Umbria;45;13028;
Liguria;45;21218;
Lombardia;45;158472;
Provincia Autonoma Bolzano / Bozen;45;7474;
Provincia Autonoma Trento;45;7907;
Veneto;45;74531;
Friuli-Venezia Giulia;45;17865;
Emilia-Romagna;45;70911;
Marche;45;22961;
Lazio;45;92009;
Abruzzo;45;18938;
Molise;45;4290;
Campania;45;84732;
Puglia;45;60089;
Basilicata;45;7946;
Calabria;45;26704;
Sicilia;45;70639;
Sardegna;45;25639;
Provincia Autonoma Bolzano / Bozen;46;7923;
Provincia Autonoma Trento;46;8403;
Veneto;46;79166;
